episode,broadcast_title,region,missing_fields,search_query,restaurant_name,address,menu,review,place_id,verified
212,여름 별식! 국수 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 212회 여름 별식! 국수 밥상 맛집,"전씨네만국수,함흥냉면옥",,,,,Y(에이전트 본문검증채움)
208,맛의 열린음악회! 이대·신촌 서대문구밥상,서울특별시 서대문구,"address,menu,place_id,restaurant_name,review",백반기행 208회 맛의 열린음악회! 이대·신촌 서대문구밥상 맛집,이로운밥상,,,,,Y(에이전트 본문검증채움)
205,꿈엔들 잊힐리야 옥천 금강 밥상,충청북도 옥천군,"address,menu,place_id,restaurant_name,review",백반기행 205회 꿈엔들 잊힐리야 옥천 금강 밥상 맛집,,,,,,
204,맛의 물길~ 김천 진미 밥상,경상북도 김천시,"address,menu,place_id,restaurant_name,review",백반기행 204회 맛의 물길~ 김천 진미 밥상 맛집,,,,,,
203,맛의 정치학! 이태원 글로벌 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 203회 맛의 정치학! 이태원 글로벌 밥상 맛집,,,,,,
199,맛의 엄지척! 대구 달서구 밥상,대구광역시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 199회 맛의 엄지척! 대구 달서구 밥상 맛집,,,,,,
198,천생연분의 맛! 남양주 나들이 밥상,경기도 남양주시,"address,menu,place_id,restaurant_name,review",백반기행 198회 천생연분의 맛! 남양주 나들이 밥상 맛집,,,,,,
197,골목 노포의 유혹! 서울 성동 밥상,서울특별시 성동구,"address,menu,place_id,restaurant_name,review",백반기행 197회 골목 노포의 유혹! 서울 성동 밥상 맛집,"오시오,향식당,골목냉면,고향식당",,,,,Y(에이전트 본문검증채움)
192,피지컬 100% 맛! 추성훈의 신사동 고기 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 192회 피지컬 100% 맛! 추성훈의 신사동 고기 밥상 맛집,,,,,,
184,맛의 고공비행! 김포 금빛 밥상,경기도 김포시,"address,menu,place_id,restaurant_name,review",백반기행 184회 맛의 고공비행! 김포 금빛 밥상 맛집,,,,,,
182,봉주르! 종로 앙상블 밥상,서울특별시 종로구,"address,menu,place_id,restaurant_name,review",백반기행 182회 봉주르! 종로 앙상블 밥상 맛집,가향,서울 종로구 삼일대로 390-10,,,,Y(검색정형포맷-검증권장)
181,선물 같은 맛! 우리 한우 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 181회 선물 같은 맛! 우리 한우 밥상 맛집,,,,,,
180,겨울 바다를 맛보령~ 보령 서해 밥상,충청남도 보령시,"address,menu,place_id,restaurant_name,review",백반기행 180회 겨울 바다를 맛보령~ 보령 서해 밥상 맛집,,,,,,
179,맛의 부촌! 청담동 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 179회 맛의 부촌! 청담동 밥상 맛집,,,,,,
171,맛도 너르다! 대전 밥상,대전광역시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 171회 맛도 너르다! 대전 밥상 맛집,,,,,,
170,빛난다! 맛고을 광주 밥상,광주광역시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 170회 빛난다! 맛고을 광주 밥상 맛집,,,,,,
169,오지고 차지다! 화천 자연 밥상,강원특별자치도 화천군,"address,menu,place_id,restaurant_name,review",백반기행 169회 오지고 차지다! 화천 자연 밥상 맛집,,,,,,
168,한가위 넉넉하여라! 추석 특집 경복궁 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 168회 한가위 넉넉하여라! 추석 특집 경복궁 밥상 맛집,,,,,,
166,맛의 비단 물결~ 금강 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 166회 맛의 비단 물결~ 금강 밥상 맛집,,,,,,
165,그 맛이 알고 싶다! 상암 방송家 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 165회 그 맛이 알고 싶다! 상암 방송家 밥상 맛집,,,,,,
162,피서의 맛! 소요산 계곡 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 162회 피서의 맛! 소요산 계곡 밥상 맛집,,,,,,
157,맛은 살아있다! 서울 마포&서대문 밥상,서울특별시 서대문구,"address,menu,place_id,restaurant_name,review",백반기행 157회 맛은 살아있다! 서울 마포&서대문 밥상 맛집,,,,,,
150,물올랐다! 충남 공주 밥상,충청남도 공주시,"address,menu,place_id,restaurant_name,review",백반기행 150회 물올랐다! 충남 공주 밥상 맛집,,,,,,
148,봄 바다의 맛! 고성 밥상,강원특별자치도 고성군,"address,menu,place_id,restaurant_name,review",백반기행 148회 봄 바다의 맛! 고성 밥상 맛집,,,,,,
141,샘솟는 맛의 발원! 태백산 밥상,강원특별자치도 태백시,"address,menu,place_id,restaurant_name,review",백반기행 141회 샘솟는 맛의 발원! 태백산 밥상 맛집,,,,,,
139,맛의 명당! 우아한 여주 밥상,경기도 여주시,"address,menu,place_id,restaurant_name,review",백반기행 139회 맛의 명당! 우아한 여주 밥상 맛집,,,,,,
137,그리운 추억의 맛! 서울 왕십리 밥상,서울특별시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 137회 그리운 추억의 맛! 서울 왕십리 밥상 맛집,,,,,,
136,향기롭고 은혜롭다~!? 강릉 겨울 밥상,강원특별자치도 강릉시,"address,menu,place_id,restaurant_name,review",백반기행 136회 향기롭고 은혜롭다~!? 강릉 겨울 밥상 맛집,,,,,,
134,남도의 겨울이어라~ 산해진미 장흥 밥상,전라남도 장흥군,"address,menu,place_id,restaurant_name,review",백반기행 134회 남도의 겨울이어라~ 산해진미 장흥 밥상 맛집,장흥 석화구이,,,,,Y(스니펫검증)
133,화끈하다~! 제천 보약 밥상,충청북도 제천시,"address,menu,place_id,restaurant_name,review",백반기행 133회 화끈하다~! 제천 보약 밥상 맛집,"만두국 닭칼만,제천 보약 밥상",,,,,Y(스니펫검증)
132,대통령 후보 대선 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 132회 대통령 후보 대선 밥상 맛집,,,,,,
131,반전 매력! 옹골찬 구리 밥상,경기도 구리시,"address,menu,place_id,restaurant_name,review",백반기행 131회 반전 매력! 옹골찬 구리 밥상 맛집,,,,,,
129,맛의 대전! 대한민국 중심 대전 밥상,대전광역시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 129회 맛의 대전! 대한민국 중심 대전 밥상 맛집,,,,,,
123,가을 서해의 물오른 맛! 보령 밥상,충청남도 보령시,"address,menu,place_id,restaurant_name,review",백반기행 123회 가을 서해의 물오른 맛! 보령 밥상 맛집,,,,,,
121,추석 특집 1부 '전설의 소고기',,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 121회 추석 특집 1부 '전설의 소고기' 맛집,,,,,,
120,밥심으로 세우다! 울산의 맛!,울산광역시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 120회 밥심으로 세우다! 울산의 맛! 맛집,,,,,,
117,으랏차차! 태릉 금메달 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 117회 으랏차차! 태릉 금메달 밥상 맛집,,,,,,
116,우아한 반전~! 근교 남양주 밥상,경기도 남양주시,"address,menu,place_id,restaurant_name,review",백반기행 116회 우아한 반전~! 근교 남양주 밥상 맛집,,,,,,
115,기품넘쳐라~ 공주&부여 밥상,충청남도 부여군,"address,menu,place_id,restaurant_name,review",백반기행 115회 기품넘쳐라~ 공주&부여 밥상 맛집,,,,,,
111,여름엔 동해다! 동해 바다 밥상,강원특별자치도 동해시,"address,menu,place_id,restaurant_name,review",백반기행 111회 여름엔 동해다! 동해 바다 밥상 맛집,,,,,,
110,맛있는 산행! 북한산 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 110회 맛있는 산행! 북한산 밥상 맛집,,,,,,
108,인천은 바다다~! 인천 부두 밥상,인천광역시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 108회 인천은 바다다~! 인천 부두 밥상 맛집,,,,,,
107,맛은 추억이다! 예산 고향 밥상,충청남도 예산군,"address,menu,place_id,restaurant_name,review",백반기행 107회 맛은 추억이다! 예산 고향 밥상 맛집,,,,,,
101,떠나볼까? 경기도 광주 나들이 밥상,경기도 광주시,"address,menu,place_id,restaurant_name,review",백반기행 101회 떠나볼까? 경기도 광주 나들이 밥상 맛집,,,,,,
99,넘어 볼 맛 난다! 강원도 한계령 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 99회 넘어 볼 맛 난다! 강원도 한계령 밥상 맛집,,,,,,
98,이 봄에 안성맞춤! 안성 밥상,경기도 안성시,"address,menu,place_id,restaurant_name,review",백반기행 98회 이 봄에 안성맞춤! 안성 밥상 맛집,,,,,,
95,맛이 예술이다! 헤이리 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 95회 맛이 예술이다! 헤이리 밥상 맛집,,,,,,
94,우아한 맛! 서울 덕수궁 밥상,서울특별시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 94회 우아한 맛! 서울 덕수궁 밥상 맛집,,,,,,
93,역사와 맛이 철철 넘친다! 전북 익산 밥상,전북특별자치도 익산시,"address,menu,place_id,restaurant_name,review",백반기행 93회 역사와 맛이 철철 넘친다! 전북 익산 밥상 맛집,,,,,,
91,화려한 바다의 맛! 전남 여수 밥상,전라남도 여수시,"address,menu,place_id,restaurant_name,review",백반기행 91회 화려한 바다의 맛! 전남 여수 밥상 맛집,,,,,,
90,부자되세요~! 명동 주식(主食) 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 90회 부자되세요~! 명동 주식(主食) 밥상 맛집,,,,,,
89,위풍당당! 서울 인왕산 밥상,서울특별시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 89회 위풍당당! 서울 인왕산 밥상 맛집,,,,,,
88,살고 싶은 맛! 생거진천 밥상,충청북도 진천군,"address,menu,place_id,restaurant_name,review",백반기행 88회 살고 싶은 맛! 생거진천 밥상 맛집,,,,,,
84,새해에도 든든하고 맛있소! 포항 밥상,경상북도 포항시,"address,menu,place_id,restaurant_name,review",백반기행 84회 새해에도 든든하고 맛있소! 포항 밥상 맛집,,,,,,
83,맛있는 선물! 영동 밥상,충청북도 영동군,"address,menu,place_id,restaurant_name,review",백반기행 83회 맛있는 선물! 영동 밥상 맛집,,,,,,
82,도심에서 찾은 힐링의 맛! 서울 마포 밥상,서울특별시 마포구,"address,menu,place_id,restaurant_name,review",백반기행 82회 도심에서 찾은 힐링의 맛! 서울 마포 밥상 맛집,,,,,,
80,초겨울 남도의 맛! 고흥 밥상,전라남도 고흥군,"address,menu,place_id,restaurant_name,review",백반기행 80회 초겨울 남도의 맛! 고흥 밥상 맛집,,,,,,
76,"원초적인 자연의 맛, 맛의 원석 철원 밥상",강원특별자치도 철원군,"address,menu,place_id,restaurant_name,review","백반기행 76회 원초적인 자연의 맛, 맛의 원석 철원 밥상 맛집",,,,,,
73,바라던 바다! 영덕 밥상,경상북도 영덕군,"address,menu,place_id,restaurant_name,review",백반기행 73회 바라던 바다! 영덕 밥상 맛집,,,,,,
71,기가 차오른다! 영암밥상,전라남도 영암군,"address,menu,place_id,restaurant_name,review",백반기행 71회 기가 차오른다! 영암밥상 맛집,,,,,,
70,풍요로운 가을 맛 진상이요~ 이천 자연 밥상,경기도 이천시,"address,menu,place_id,restaurant_name,review",백반기행 70회 풍요로운 가을 맛 진상이요~ 이천 자연 밥상 맛집,,,,,,
69,가을 서해를 품은 맛! 보령 밥상,충청남도 보령시,"address,menu,place_id,restaurant_name,review",백반기행 69회 가을 서해를 품은 맛! 보령 밥상 맛집,,,,,,
63,맛의 중심을 잡다! 충주 밥상,충청북도 충주시,"address,menu,place_id,restaurant_name,review",백반기행 63회 맛의 중심을 잡다! 충주 밥상 맛집,,,,,,
62,묵힐수록 맛있다! 고추장 본고장 순창 밥상,전북특별자치도 순창군,"address,menu,place_id,restaurant_name,review",백반기행 62회 묵힐수록 맛있다! 고추장 본고장 순창 밥상 맛집,,,,,,
60,이 맛이 찐이다! 최북단 고성 밥상,강원특별자치도 고성군,"address,menu,place_id,restaurant_name,review",백반기행 60회 이 맛이 찐이다! 최북단 고성 밥상 맛집,,,,,,
59,바다 곳간이 열렸다! 청정 완도 밥상,전라남도 완도군,"address,menu,place_id,restaurant_name,review",백반기행 59회 바다 곳간이 열렸다! 청정 완도 밥상 맛집,,,,,,
58,이름값 한다! 광양 밥상,전라남도 광양시,"address,menu,place_id,restaurant_name,review",백반기행 58회 이름값 한다! 광양 밥상 맛집,,,,,,
56,고수의 손맛! 인천 밥상,인천광역시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 56회 고수의 손맛! 인천 밥상 맛집,,,,,,
51,연륜의 맛! 전북 군산 밥상,전북특별자치도 군산시,"address,menu,place_id,restaurant_name,review",백반기행 51회 연륜의 맛! 전북 군산 밥상 맛집,,,,,,
50,새로운 맛이 몰려온다~ 송파 밥상,서울특별시 송파구,"address,menu,place_id,restaurant_name,review",백반기행 50회 새로운 맛이 몰려온다~ 송파 밥상 맛집,,,,,,
48,황금의 바다! 진도 밥상,전라남도 진도군,"address,menu,place_id,restaurant_name,review",백반기행 48회 황금의 바다! 진도 밥상 맛집,,,,,,
46,강바람에 실려 온 맛! 양평 밥상,경기도 양평군,"address,menu,place_id,restaurant_name,review",백반기행 46회 강바람에 실려 온 맛! 양평 밥상 맛집,,,,,,
45,'진또배기'처럼 우뚝! 강릉의 맛,강원특별자치도 강릉시,"address,menu,place_id,restaurant_name,review",백반기행 45회 '진또배기'처럼 우뚝! 강릉의 맛 맛집,,,,,,
44,맛있는 클라스! 이태원 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 44회 맛있는 클라스! 이태원 밥상 맛집,,,,,,
43,허를 찌르는 맛! 공주 밥상,충청남도 공주시,"address,menu,place_id,restaurant_name,review",백반기행 43회 허를 찌르는 맛! 공주 밥상 맛집,,,,,,
40,그 맛에 빠져든다! 서촌 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 40회 그 맛에 빠져든다! 서촌 밥상 맛집,,,,,,
39,기백 넘치는 맛! 함양 밥상,경상남도 함양군,"address,menu,place_id,restaurant_name,review",백반기행 39회 기백 넘치는 맛! 함양 밥상 맛집,,,,,,
33,속속들이 맛있다! 여수 밥상,전라남도 여수시,"address,menu,place_id,restaurant_name,review",백반기행 33회 속속들이 맛있다! 여수 밥상 맛집,,,,,,
31,제대로 보니 맛있구나! 춘천 밥상,강원특별자치도 춘천시,"address,menu,place_id,restaurant_name,review",백반기행 31회 제대로 보니 맛있구나! 춘천 밥상 맛집,,,,,,
30,노포 천하! 을지로의 맛,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 30회 노포 천하! 을지로의 맛 맛집,,,,,,
28,맛은 통(通)한다! 서울 성북 밥상,서울특별시 성북구,"address,menu,place_id,restaurant_name,review",백반기행 28회 맛은 통(通)한다! 서울 성북 밥상 맛집,,,,,,
27,옹골지게 맛있다! 구례 밥상,전라남도 구례군,"address,menu,place_id,restaurant_name,review",백반기행 27회 옹골지게 맛있다! 구례 밥상 맛집,,,,,,
26,추억은 맛있다! 종로 골목 밥상,서울특별시 종로구,"address,menu,place_id,restaurant_name,review",백반기행 26회 추억은 맛있다! 종로 골목 밥상 맛집,,,,,,
22,이 맛에 산다! 여의도 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 22회 이 맛에 산다! 여의도 밥상 맛집,,,,,,
21,이거 하나면 거뜬하다! - 수원밥상,경기도 수원시,"address,menu,place_id,restaurant_name,review",백반기행 21회 이거 하나면 거뜬하다! - 수원밥상 맛집,,,,,,
20,제주의 가을은 맛 좋아마씀,제주특별자치도,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 20회 제주의 가을은 맛 좋아마씀 맛집,,,,,,
19,"동묘와 동대문 사이, 맛있는 보물찾기 - 동묘, 동대문 밥상",서울특별시 동대문구,"address,menu,place_id,restaurant_name,review","백반기행 19회 동묘와 동대문 사이, 맛있는 보물찾기 - 동묘, 동대문 밥상 맛집",,,,,,
17,"초가을, 물오른 순천의 맛",전라남도 순천시,"address,menu,place_id,restaurant_name,review","백반기행 17회 초가을, 물오른 순천의 맛 맛집",,,,,,
15,"맛있는 골목, 망원 밥상",,"address,menu,place_id,restaurant_name,review,sido,sigungu","백반기행 15회 맛있는 골목, 망원 밥상 맛집",,,,,,
14,"뚝심 있는 맛, 대전 밥상",대전광역시,"address,menu,place_id,restaurant_name,review,sigungu","백반기행 14회 뚝심 있는 맛, 대전 밥상 맛집",,,,,,
13,노포의 힘! 이 맛이 제물포~,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 13회 노포의 힘! 이 맛이 제물포~ 맛집,,,,,,
12,맛있는 추억이 담긴 - 남산 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 12회 맛있는 추억이 담긴 - 남산 밥상 맛집,,,,,,
11,섬마을 신안의 농익은 맛! - 신안 밥상,전라남도 신안군,"address,menu,place_id,restaurant_name,review",백반기행 11회 섬마을 신안의 농익은 맛! - 신안 밥상 맛집,,,,,,
10,진짜배기 강원도 - 삼척 밥상,강원특별자치도 삼척시,"address,menu,place_id,restaurant_name,review",백반기행 10회 진짜배기 강원도 - 삼척 밥상 맛집,,,,,,
9,명불허전! - 목포밥상 2,전라남도 목포시,"address,menu,place_id,restaurant_name,review",백반기행 9회 명불허전! - 목포밥상 2 맛집,,,,,,
8,맛있는 항구! - 목포 밥상,전라남도 목포시,"address,menu,place_id,restaurant_name,review",백반기행 8회 맛있는 항구! - 목포 밥상 맛집,,,,,,
7,0780 서울의 맛 - 서대문 밥상,서울특별시 서대문구,"address,menu,place_id,restaurant_name,review",백반기행 7회 0780 서울의 맛 - 서대문 밥상 맛집,,,,,,
6,모 아니면 도! - 고집 센 대구밥상,대구광역시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 6회 모 아니면 도! - 고집 센 대구밥상 맛집,,,,,,
5,반전 매력의 기찬 맛 - 강화도 밥상,인천광역시 강화군,"address,menu,place_id,restaurant_name,review",백반기행 5회 반전 매력의 기찬 맛 - 강화도 밥상 맛집,,,,,,
4,'단디' 차린 - 부산 밥상,부산광역시,"address,menu,place_id,restaurant_name,review,sigungu",백반기행 4회 '단디' 차린 - 부산 밥상 맛집,,,,,,
3,맛있는 위안 - 든든한 충무로 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 3회 맛있는 위안 - 든든한 충무로 밥상 맛집,,,,,,
2,은근한 그리움의 맛 - 충남 서산 토박이 밥상,충청남도 서산시,"address,menu,place_id,restaurant_name,review",백반기행 2회 은근한 그리움의 맛 - 충남 서산 토박이 밥상 맛집,,,,,,
1,당신이 꿈꾸는 남도 백반 - 전남 강진편,전라남도 강진군,"address,menu,place_id,restaurant_name,review",백반기행 1회 당신이 꿈꾸는 남도 백반 - 전남 강진편 맛집,,,,,,
